timestamp	Catch	Esoteria	Paragon Soul	Providence	Stain
2016-02-09 12:00:00	3970.0625	8280.36458333	3306.98637821	8256.70592949	1931.95833333
2016-02-10 00:00:00	4041.62980769	7965.97996795	3282.15945513	8069.68669872	1873.99679487
2016-02-10 12:00:00	4073.39022436	8178.02163462	3331.97195513	7652.85336538	1823.88221154
2016-02-11 00:00:00	3966.53445513	8212.03125	3236.88541667	7471.07451923	1730.16105769
2016-02-11 12:00:00	3789.02804487	8471.72836538	3513.30048077	7342.30208333	1637.26041667
2016-02-12 00:00:00	3830.59375	8618.38701923	3557.18910256	7555.5224359	1674.23237179
2016-02-12 12:00:00	3841.89182692	8877.12740385	3607.31410256	7857.05128205	1665.07852564
2016-02-13 00:00:00	4004.24599359	9288.91907051	3788.0849359	7954.98878205	1716.34935897
2016-02-13 12:00:00	4154.46714744	9427.56330128	3759.21955128	8330.27724359	1811.74358974
2016-02-14 00:00:00	4195.57291667	9537.33253205	3863.45032051	8401.97916667	1861.12820513
2016-02-14 12:00:00	4393.64583333	9752.23878205	3852.37740385	8855.01041667	1866.76362179
2016-02-15 00:00:00	4547.48237179	9658.99839744	4061.77163462	8776.04887821	1887.80208333
2016-02-15 12:00:00	4810.98237179	9463.75801282	4016.81971154	8761.01041667	1901.89823718
2016-02-16 00:00:00	4890.94070513	9365.97676282	4013.22596154	8603.25	1864.88782051
2016-02-16 12:00:00	4999.15567766	9169.88747711	4324.38598901	8465.00343407	1875.34386447
2016-02-17 00:00:00	4848.22859432	9085.21664377	4316.28598901	8388.1617674	1868.34386447
2016-02-17 12:00:00	4931.82474817	9134.40895147	4509.62252747	8355.38292125	1816.24771062
2016-02-18 00:00:00	4788.59397894	9310.18779762	4441.12252747	8378.26753663	1779.86309524
2016-02-18 12:00:00	4581.33195971	8921.71504121	4560.97028388	8155.10567766	1775.80540293
2016-02-19 00:00:00	4496.78388278	8955.11888736	4558.9606685	8317.71144689	1779.37271062
