timestamp	Branch	Deklein	Geminate	Pure Blind	Tenal	Tribute	Vale of the Silent	Venal
2016-01-31 00:00:00	10082.568109	13292.8149038	7977.02163462	3106.41105769	3502.0224359	3515.64583333	7696.57852564	1345.23717949
2016-01-31 12:00:00	9328.23157051	13722.2091346	8009.15625	3309.39182692	3553.00320513	3489.61698718	7993.57852564	1356.26602564
2016-02-01 00:00:00	9079.98477564	13462.2740385	7920.73317308	3480.875	3550.27083333	3356.34134615	7874.15224359	1337.24519231
2016-02-01 12:00:00	8846.37900641	13422.7451923	8188.12740385	3778.78846154	3515.61698718	3256.62019231	7926.3349359	1304.28365385
2016-02-02 00:00:00	8608.08733974	13393.630609	8102.89823718	4016.52804487	3506.67948718	3352.71394231	8090.60576923	1291.74198718
2016-02-02 12:00:00	8114.84695513	13210.6113782	8398.00400641	4118.85496795	3557.48717949	3347.18509615	7900.35576923	1261.2900641
2016-02-03 00:00:00	8203.77964744	12881.7459936	8320.29246795	4049.72996795	3540.29487179	3324.71394231	7796.44230769	1249.24198718
2016-02-03 12:00:00	8446.34214744	12480.8084936	8448.72996795	4028.08413462	3659.46153846	3370.55769231	7778.44230769	1141.03365385
2016-02-04 00:00:00	8785.23637821	11886.568109	8279.18189103	4112.43028846	3674.69230769	3266.74038462	7743.23076923	1095.13942308
2016-02-04 12:00:00	8757.27483974	11116.193109	8598.3838141	4157.74759615	3682.52884615	3192.61538462	7539.38461538	1062.02403846
2016-02-05 00:00:00	8670.72275641	11252.1410256	8679.5400641	4272.86217949	3883.02884615	3262.26121795	7543.63461538	1068.16987179
2016-02-05 12:00:00	8489.36698718	11129.6987179	8761.87660256	4288.11217949	3913.11538462	3338.17467949	7623.88461538	1086.94871795
2016-02-06 00:00:00	8327.61217949	11161.6570513	9054.8525641	4370.44871795	3938.79326923	3306.64983974	7716.77003205	1126.14022436
2016-02-06 12:00:00	8625.04086538	11693.3669872	9107.6338141	4497.78525641	4019.97516026	3431.48157051	8195.47836538	1162.18910256
2016-02-07 00:00:00	8701.07932692	12051.0977564	9043.18189103	4995.36217949	4139.39823718	3567.82772436	8335.24759615	1145.94871795
2016-02-07 12:00:00	8951.06891026	12377.0873397	8575.76522436	5126.88301282	4435.02323718	3876.79647436	8489.87259615	1195.19871795
2016-02-08 00:00:00	9057.13621795	12585.1450321	8305.23637821	5506.81570513	4602.14823718	3988.96955128	8505.58413462	1194.91025641
2016-02-08 12:00:00	9292.59775641	12780.0873397	7525.79407051	5457.10416667	4474.10977564	4015.5849359	8393.36298077	1173.70833333
2016-02-09 00:00:00	9417.88942308	12663.8165064	7259.43990385	5464.38541667	4439.09935897	4016.51201923	8317.77964744	1185.89583333
2016-02-09 12:00:00	9532.78365385	12627.0857372	6950.18028846	5330.43349359	4508.74358974	3935.35817308	7938.71233974	1182.22275641
